rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
120,1962,129,PG,8.3,334.0,88.0,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.", To Kill a Mockingbird
121,1941,119,A,8.3,468.0,100.0,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'", Citizen Kane
122,1960,125,PG,8.3,198.0,94.0,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.", The Apartment
123,1927,153,PG,8.3,186.0,98.0,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.", Metropolis
124,1959,136,PG,8.3,348.0,98.0,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.", North by Northwest
125,1952,103,U,8.3,262.0,99.0,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood., Singin' in the Rain
126,1973,129,PG,8.3,281.0,83.0,Two grifters team up to pull off the ultimate con., The Sting
127,2016,161,PG,8.3,213.0,81.0,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression., Dangal
128,2011,123,PG,8.3,260.0,95.0,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease., A Separation
129,1961,179,PG,8.3,86.0,60.0,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.", Judgment at Nuremberg
130,1944,107,A,8.3,168.0,95.0,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.", Double Indemnity
131,1952,143,PG,8.3,88.0,92.0,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer., Ikiru
132,2007,162,PG,8.3,208.0,81.0,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.", Like Stars on Earth
133,1948,89,U,8.3,176.0,81.0,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.", Bicycle Thieves
134,2022,166,15,8.3,151.0,81.0,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes, while the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.", K
135,2019,143,12A,8.3,64.0,81.0,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.", Chhichhore
136,2022,175,15,8.3,75.0,81.0,"A special investigator discovers a case of serial killings is not what it seems to be, and leading down this path is only going to end in a war between everyone involved.", Vikram
137,2021,135,16,8.3,130.0,81.0,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.", Shershaah
138,2018,146,Not Rated,8.3,51.0,81.0,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally., Raatchasan
139,2013,160,12A,8.3,44.0,81.0,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime., Drishyam
140,2022,130,12A,8.2,710.0,78.0,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.", Top Gun: Maverick
141,2013,180,18,8.2,1.6,75.0,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.", The Wolf of Wall Street
142,2003,111,18,8.2,1.2,69.0,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.", Kill Bill: Vol
143,1993,127,PG,8.2,1.1,68.0,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose., Jurassic Park
144,2007,122,15,8.2,1.1,92.0,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande., No Country for Old Men
145,2019,119,15,8.2,683.0,78.0,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",1917
146,2021,148,12A,8.2,888.0,71.0,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.", Spider-Man: No Way Home
147,1999,107,15,8.2,1.1,64.0,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.", The Sixth Sense
148,2010,138,15,8.2,1.5,63.0,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.", Shutter Island
149,2018,130,12A,8.2,579.0,69.0,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South., Green Book
150,2013,153,15,8.2,816.0,70.0,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.", Prisoners
151,1998,103,PG,8.2,1.2,90.0,An insurance salesman discovers his whole life is actually a reality TV show., The Truman Show
152,1976,114,18,8.2,927.0,94.0,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.", Taxi Driver
153,2005,140,12A,8.2,1.6,70.0,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.", Batman Begins
154,2007,158,12A,8.2,644.0,93.0,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.", There Will Be Blood
155,2000,104,18,8.2,915.0,55.0,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.", Snatch
156,1982,109,X,8.2,470.0,57.0,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims., The Thing
157,2001,135,12,8.2,992.0,72.0,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.", A Beautiful Mind
158,2003,100,U,8.2,1.1,90.0,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.", Finding Nemo
159,1988,132,18,8.2,950.0,72.0,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles., Die Hard
160,2004,119,U,8.2,453.0,82.0,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.", Howl's Moving Castle
161,2005,132,15,8.2,1.2,62.0,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.", V for Vendetta
162,1997,138,18,8.2,621.0,91.0,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.", L
